ssid,address,signal,quality,vendor
MO-ZAM-BIQUE here,82:85:4F:FB:B5:2E,-63,36/100,Unknown
wWIFI,CC:16:7E:F1:6D:EE,-95,18/100,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:6D:ED,-94,15/100,"Cisco Systems, Inc"
MAIF-IA-EXP,CC:16:7E:F1:6D:EC,-94,18/100,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:6D:EB,-94,15/100,"Cisco Systems, Inc"
WIFI_INVITES,CC:16:7E:F1:6D:EA,-95,18/100,"Cisco Systems, Inc"
,CC:16:7E:F1:6D:E9,-96,15/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,CC:16:7E:F1:6D:E7,-95,18/100,"Cisco Systems, Inc"
,CC:16:7E:F1:6D:EF,-94,0/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:0F,-93,36/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:36:E4:0E,-92,36/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:36:E4:0D,-93,36/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:36:E4:0C,-92,36/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:36:E4:0B,-93,30/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:36:E4:0A,-93,39/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:09,-93,36/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:36:E4:08,-92,36/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:36:E4:07,-93,42/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:9B:AA:8A,-80,98/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:89,-80,96/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:9B:AA:88,-82,96/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:9B:AA:87,-81,96/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:8F,-80,96/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:9B:AA:8E,-80,93/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:9B:AA:8D,-80,96/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:9B:AA:8C,-81,96/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:9B:AA:8B,-81,96/100,"Cisco Systems, Inc"
