ssid,address,signal,quality,vendor
MO-ZAM-BIQUE here,82:85:4F:FB:B5:2E,-63,36/100,Unknown
,CC:16:7E:F1:6D:EF,-94,18/100,"Cisco Systems, Inc"
wWIFI,CC:16:7E:F1:6D:EE,-94,24/100,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:6D:ED,-94,27/100,"Cisco Systems, Inc"
MAIF-IA-EXP,CC:16:7E:F1:6D:EC,-95,21/100,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:6D:EB,-94,24/100,"Cisco Systems, Inc"
WIFI_INVITES,CC:16:7E:F1:6D:EA,-94,27/100,"Cisco Systems, Inc"
,CC:16:7E:F1:6D:E9,-94,18/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,CC:16:7E:F1:6D:E8,-95,18/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,CC:16:7E:F1:6D:E7,-95,21/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:0F,-93,36/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:36:E4:0E,-94,33/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:36:E4:0D,-93,39/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:36:E4:0C,-93,36/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:36:E4:0B,-93,33/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:36:E4:0A,-93,33/100,"Cisco Systems, Inc"
,00:F6:63:36:E4:09,-94,30/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:36:E4:08,-94,27/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:36:E4:07,-94,33/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:8F,-82,90/100,"Cisco Systems, Inc"
wWIFI,00:F6:63:9B:AA:8E,-81,93/100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:9B:AA:8D,-81,96/100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:9B:AA:8C,-82,90/100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:9B:AA:8B,-82,96/100,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:9B:AA:8A,-82,87/100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:89,-81,90/100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:9B:AA:88,-81,93/100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:9B:AA:87,-81,93/100,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:33:9D,-94,20/100,"Cisco Systems, Inc"
,CC:16:7E:F1:33:9F,-93,18/100,"Cisco Systems, Inc"
wWIFI,CC:16:7E:F1:33:9E,-94,15/100,"Cisco Systems, Inc"
