ssid,address,signal,quality,frequency,channel,vendor
MO-ZAM-BIQUE here,82:85:4F:FB:B5:2E,-82,30/100,2.462 GHz,11,Unknown
,CC:16:7E:F1:6D:EF,-95,17/100,5.28 GHz,56,"Cisco Systems, Inc"
wWIFI,CC:16:7E:F1:6D:EE,-95,21/100,5.28 GHz,56,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:6D:ED,-95,12/100,5.28 GHz,56,"Cisco Systems, Inc"
MAIF-IA-EXP,CC:16:7E:F1:6D:EC,-95,18/100,5.28 GHz,56,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:6D:EB,-95,18/100,5.28 GHz,56,"Cisco Systems, Inc"
WIFI_INVITES,CC:16:7E:F1:6D:EA,-95,21/100,5.28 GHz,56,"Cisco Systems, Inc"
UTILISATEURS_MAIF,CC:16:7E:F1:6D:E8,-95,21/100,5.28 GHz,56,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,CC:16:7E:F1:6D:E7,-95,21/100,5.28 GHz,56,"Cisco Systems, Inc"
,00:F6:63:36:E4:0F,-92,36/100,5.32 GHz,64,"Cisco Systems, Inc"
wWIFI,00:F6:63:36:E4:0E,-93,33/100,5.32 GHz,64,"Cisco Systems, Inc"
MNTIOT,00:F6:63:36:E4:0D,-92,39/100,5.32 GHz,64,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:36:E4:0C,-93,36/100,5.32 GHz,64,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:36:E4:0B,-92,33/100,5.32 GHz,64,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:36:E4:0A,-92,30/100,5.32 GHz,64,"Cisco Systems, Inc"
,00:F6:63:36:E4:09,-92,33/100,5.32 GHz,64,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:36:E4:08,-93,33/100,5.32 GHz,64,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:36:E4:07,-93,33/100,5.32 GHz,64,"Cisco Systems, Inc"
WIFI_INVITES,00:F6:63:9B:AA:8A,-83,91/100,5.5 GHz,100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:89,-82,90/100,5.5 GHz,100,"Cisco Systems, Inc"
UTILISATEURS_MAIF,00:F6:63:9B:AA:88,-82,93/100,5.5 GHz,100,"Cisco Systems, Inc"
UTILISATEURS_PARNASSE,00:F6:63:9B:AA:87,-82,87/100,5.5 GHz,100,"Cisco Systems, Inc"
,00:F6:63:9B:AA:8F,-83,90/100,5.5 GHz,100,"Cisco Systems, Inc"
wWIFI,00:F6:63:9B:AA:8E,-82,87/100,5.5 GHz,100,"Cisco Systems, Inc"
MNTIOT,00:F6:63:9B:AA:8D,-82,90/100,5.5 GHz,100,"Cisco Systems, Inc"
MAIF-IA-EXP,00:F6:63:9B:AA:8C,-82,90/100,5.5 GHz,100,"Cisco Systems, Inc"
MOBILES_MAIF,00:F6:63:9B:AA:8B,-82,87/100,5.5 GHz,100,"Cisco Systems, Inc"
,CC:16:7E:F1:33:9F,-93,18/100,5.68 GHz,136,"Cisco Systems, Inc"
MNTIOT,CC:16:7E:F1:33:9D,-94,18/100,5.68 GHz,136,"Cisco Systems, Inc"
MOBILES_MAIF,CC:16:7E:F1:33:9B,-93,15/100,5.68 GHz,136,"Cisco Systems, Inc"
